"keys","en","ko"
"TITLE_CONTINUE","CONTINUE","모험의 서"
"TITLE_NEW","NEW QUEST","처음부터"
"TITLE_SETTINGS","SETTINGS","설정"
"TITLE_QUIT","QUIT","종료"
"TITLE_CREDITS","CREDITS","만든 것들"
"CREDITS_TITLE","MADE OF","이 게임을 이루는 것들"
"TITLE_NO_SAVE","no journal recorded yet","기록된 모험의 서가 없다"
"TITLE_SUBTITLE","a Dragon Quest 1 system clone","드래곤 퀘스트 1 시스템 클론"
"TITLE_HINT","ARROWS  move        SPACE  confirm        X  cancel","방향키  이동        스페이스  결정        X  취소"
"MENU_TALK","TALK","말한다"
"MENU_TAKE","TAKE","조사한다"
"MENU_STATUS","STATUS","상태"
"MENU_SPELL","SPELL","주문"
"MENU_ITEM","ITEM","도구"
"MENU_EQUIP","EQUIP","장비"
"MENU_SYSTEM","SYSTEM","시스템"
"MENU_BUY","BUY","산다"
"MENU_SELL","SELL","판다"
"MENU_YES","YES","예"
"MENU_NO","NO","아니오"
"MENU_FIGHT","FIGHT","싸운다"
"MENU_RUN","RUN","도망친다"
"SYS_SETTINGS","SETTINGS","설정"
"SYS_TITLE","TITLE","타이틀로"
"SYS_QUIT","QUIT","게임 종료"
"MSG_CONFIRM_TITLE","Return to the title screen?","타이틀 화면으로 돌아가겠는가?"
"MSG_CONFIRM_QUIT","End the game?","게임을 끝내겠는가?"
"MSG_UNSAVED","Deeds not yet recorded will be lost.","아직 기록하지 않은 모험은 사라진다."
"SET_MUSIC","MUSIC","음악"
"SET_SOUND","SOUND","효과음"
"SET_TEXT","TEXT","글 속도"
"SET_VIEW","VIEW","화면"
"SET_SCREEN","SCREEN","창 모드"
"SET_LANG","LANG","언어"
"SET_BACK","BACK","돌아간다"
"SET_SLOW","SLOW","느리게"
"SET_NORMAL","NORMAL","보통"
"SET_FAST","FAST","빠르게"
"SET_FULL","FULL","전체"
"SET_WINDOW","WINDOW","창"
"SET_LANG_EN","ENGLISH","ENGLISH"
"SET_LANG_KO","한국어","한국어"
"STAT_LV","LV","레벨"
"STAT_HP","HP","HP"
"STAT_MP","MP","MP"
"STAT_G","G","G"
"STAT_QUEST","QUEST","할 일"
"STAT_LEVEL","LEVEL","레벨"
"STAT_EXP","EXP","경험치"
"STAT_NEXT","NEXT","다음까지"
"STAT_STRENGTH","STRENGTH","힘"
"STAT_AGILITY","AGILITY","민첩성"
"STAT_ATTACK","ATTACK","공격력"
"STAT_DEFENCE","DEFENCE","수비력"
"STAT_MAX_HP","MAX HP","최대 HP"
"STAT_MAX_MP","MAX MP","최대 MP"
"STAT_WEAPON","WEAPON","무기"
"STAT_ARMOUR","ARMOUR","갑옷"
"STAT_SHIELD","SHIELD","방패"
"STAT_NONE","none","없음"
"KIND_WEAPON","WEAPON","무기"
"KIND_ARMOR","ARMOR","갑옷"
"KIND_SHIELD","SHIELD","방패"
"QUEST_KING","Speak with the King","왕에게 말한다"
"QUEST_CAVE","Enter the cave, east","동쪽 동굴로 간다"
"QUEST_RETURN","Return to the castle","성으로 돌아간다"
"FMT_GOLD","{gold} G","{gold} G"
"FMT_MP","{mp} MP","{mp} MP"
"FMT_HP","HP {hp}/{max}","HP {hp}/{max}"
"FMT_GAIN","{stat} +{amount}","{stat} +{amount}"
"FMT_PLACE","- {place} -","- {place} -"
"MSG_NO_DATABASE","No database. Run tools/build_data.gd.","데이터가 없다. tools/build_data.gd 를 실행하라."
"MSG_INTRO_1","Thy quest begins in the castle town.","그대의 여행은 성마을에서 시작된다."
"MSG_INTRO_2","Speak with the King upon the throne.","옥좌에 앉은 왕에게 말을 걸어라."
"MSG_INTRO_3","ARROWS walk.  SPACE menu.  ESC system.","방향키로 이동.  스페이스로 메뉴.  ESC로 시스템."
"MSG_NO_ONE","There is no one there.","그쪽에는 아무도 없다."
"MSG_SHOP_BYE","Come again.","또 오시게."
"MSG_SHOP_BOUGHT","{item}. A fine choice.","{item}#이(가)군. 좋은 선택일세."
"MSG_NOT_ENOUGH_GOLD","Thou hast not enough gold.","골드가 모자라는군."
"MSG_BAG_FULL","Thou canst carry no more.","더는 가질 수 없다."
"MSG_CANNOT_SELL","I cannot sell thee that.","그건 팔 수 없네."
"MSG_NOTHING_TO_SELL","Thou hast nothing to sell.","팔 물건이 없군."
"MSG_SHOP_SOLD","{gold} gold for the {item}.","{item}#을(를) {gold}골드에 사겠네."
"MSG_INN_OFFER","A night's rest is {gold} gold. Stay?","하룻밤에 {gold}골드일세. 묵겠는가?"
"MSG_INN_DECLINE","Fare thee well.","잘 가시게."
"MSG_INN_MORNING","Good morning. Thou seemest well.","잘 잤는가. 기운이 넘치는군."
"MSG_INN_NO_NEED","Thou needest no rest.","쉴 필요가 없어 보이는군."
"MSG_SAVED","Thy deeds are recorded.","그대의 모험을 기록해 두었노라."
"MSG_SAVE_FAILED","The scribe has lost his quill.","지금은 기록할 수 없다."
"MSG_NO_SPELLS","Thou knowest no such spell.","아직 주문을 알지 못한다."
"MSG_SPELL_CAST","{spell}!","{spell}!"
"MSG_HEALED","Thy wounds close. +{amount} HP","상처가 아물었다. HP가 {amount} 회복됐다."
"MSG_NO_MP","Thy magic is spent.","MP가 모자란다."
"MSG_NOT_HERE","Nothing happens here.","여기서는 아무 일도 일어나지 않았다."
"MSG_NOTHING_HAPPENS","Nothing happens.","아무 일도 일어나지 않았다."
"MSG_NO_ITEMS","Thou carriest nothing useful.","쓸 만한 도구를 갖고 있지 않다."
"MSG_ITEM_HEALED","{item}. +{amount} HP","{item}#을(를) 썼다. HP가 {amount} 회복됐다."
"MSG_TORCH","The torch flares. The dark draws back.","횃불이 타올라 어둠이 물러났다."
"MSG_NOTHING_HERE","There is nothing here.","발밑에는 아무것도 없다."
"MSG_CHEST_EMPTY","The chest is empty.","상자는 비어 있다."
"MSG_FOUND_GOLD","{gold} gold!","{gold}골드를 손에 넣었다!"
"MSG_FOUND_ITEM","Thou hast found a {item}!","{item}#을(를) 손에 넣었다!"
"MSG_NO_GEAR","Thou hast nothing to equip.","장비할 것이 없다."
"MSG_EQUIPPED","Thou art now armed with the {item}.","{item}#을(를) 장비했다."
"MSG_WOUNDED","Thou art gravely wounded. Seek an inn.","상처가 깊다. 여관에서 쉬는 것이 좋겠다."
"MSG_VICTORY_1","The Dragonlord is no more.","용왕은 쓰러졌다."
"MSG_VICTORY_2","The Light returns to Alefgard.","빛이 알레프가르드에 돌아왔다."
"MSG_VICTORY_3","Thy quest is at an end.","그대의 여행은 여기서 끝난다."
"MSG_DEAD","Thou art dead.","그대는 쓰러졌다."
"MSG_RESPAWN","You lose {gold} gold and wake at the castle.","골드를 {gold} 잃고 성에서 눈을 떴다."
"MSG_HINT_FIELD","The cave lies east, beyond the swamp.","동굴은 동쪽, 늪 너머에 있다."
"MSG_HINT_DUNGEON","It is dark. A torch would widen thy sight.","어둡다. 횃불이 있으면 멀리 볼 수 있다."
"MSG_SWAMP","The swamp burns! -{amount} HP","늪이 살을 태운다! HP가 {amount} 줄었다."
"MSG_NO_SPELLS_BATTLE","You know no spells.","주문을 알지 못한다."
"MSG_NO_ITEMS_BATTLE","You carry nothing useful.","쓸 만한 도구가 없다."
"BT_BATTLE_START","A {monster} draws near!","{monster}#이(가) 나타났다!"
"BT_MONSTER_FIRST","{monster} strikes first!","{monster}#이(가) 선수를 쳤다!"
"BT_ATTACK_YOU","You attack!","그대의 공격!"
"BT_ATTACK_IT","{actor} attacks!","{actor}#의 공격!"
"BT_CRITICAL_YOU","You land an excellent blow!","회심의 일격!"
"BT_CRITICAL_IT","{actor} lands an excellent blow!","{actor}#의 회심의 일격!"
"BT_DAMAGE_YOU","You take {amount} damage.","그대는 {amount}의 피해를 입었다."
"BT_DAMAGE_IT","{target} takes {amount} damage.","{target}#에게 {amount}의 피해."
"BT_NO_DAMAGE_YOU","You are unharmed.","그대는 상처 하나 없다."
"BT_NO_DAMAGE_IT","{target} is unharmed.","{target}#은(는) 상처 하나 없다."
"BT_SPELL_YOU","You cast {spell}!","그대는 {spell}#을(를) 외웠다!"
"BT_SPELL_IT","{actor} casts {spell}!","{actor}#은(는) {spell}#을(를) 외웠다!"
"BT_SPELL_SEALED_YOU","Thy magic is sealed.","그대의 주문은 봉인되어 있다."
"BT_SPELL_SEALED_IT","{actor}'s magic is sealed.","{actor}#의 주문은 봉인되어 있다."
"BT_RESISTED_YOU","You resist.","그대는 주문을 튕겨냈다."
"BT_RESISTED_IT","{target} resists.","{target}#은(는) 주문을 튕겨냈다."
"BT_SPELL_UNAVAILABLE","Nothing happens.","아무 일도 일어나지 않았다."
"BT_NOT_ENOUGH_MP","Not enough MP.","MP가 모자란다."
"BT_HEAL_YOU","You recover {amount} HP.","그대의 HP가 {amount} 회복됐다."
"BT_HEAL_IT","{actor} recovers {amount} HP.","{actor}#의 HP가 {amount} 회복됐다."
"BT_SLEEP_APPLIED_YOU","You fall asleep.","그대는 잠들어 버렸다."
"BT_SLEEP_APPLIED_IT","{target} falls asleep.","{target}#은(는) 잠들어 버렸다."
"BT_SLEEP_SKIP_YOU","You are asleep.","그대는 잠들어 있다."
"BT_SLEEP_SKIP_IT","{actor} is asleep.","{actor}#은(는) 잠들어 있다."
"BT_SLEEP_WAKE_YOU","You wake up.","그대는 눈을 떴다."
"BT_SLEEP_WAKE_IT","{actor} wakes up.","{actor}#은(는) 눈을 떴다."
"BT_STOPSPELL_YOU","Thy magic is blocked!","그대의 주문이 봉인됐다!"
"BT_STOPSPELL_IT","{target}'s magic is blocked!","{target}#의 주문이 봉인됐다!"
"BT_ITEM_USED_YOU","You use {item}. +{amount} HP.","그대는 {item}#을(를) 썼다. HP가 {amount} 회복됐다."
"BT_ITEM_USED_IT","{actor} uses {item}. +{amount} HP.","{actor}#은(는) {item}#을(를) 썼다. HP가 {amount} 회복됐다."
"BT_ITEM_UNAVAILABLE","Nothing to use.","쓸 수 있는 것이 없다."
"BT_ITEM_NO_EFFECT_YOU","You hold up {item}, but nothing happens.","{item}#을(를) 들어 보였지만 아무 일도 없었다."
"BT_ITEM_NO_EFFECT_IT","{actor} holds up {item}, but nothing happens.","{actor}#은(는) {item}#을(를) 들어 보였지만 아무 일도 없었다."
"BT_FLEE_SUCCESS_YOU","You flee!","그대는 도망쳤다!"
"BT_FLEE_SUCCESS_IT","{actor} flees!","{actor}#은(는) 도망쳤다!"
"BT_FLEE_BLOCKED","There is no escape!","도망칠 수 없다!"
"BT_FLEE_FAIL_YOU","You cannot escape!","그러나 앞이 막혔다!"
"BT_FLEE_FAIL_IT","{actor} cannot escape!","{actor}#은(는) 도망치지 못했다!"
"BT_TRANSFORMED","{monster} changes shape!","{monster}#의 모습이 변했다!"
"BT_DEFEATED_YOU","You are defeated.","그대는 쓰러졌다."
"BT_DEFEATED_IT","{target} is defeated!","{target}#을(를) 쓰러뜨렸다!"
"BT_EXP","{amount} experience gained.","경험치를 {amount} 얻었다."
"BT_GOLD","{amount} gold gained.","골드를 {amount} 얻었다."
"BT_LEVEL_UP","Level {amount}!","레벨이 {amount}#이(가) 됐다!"
"BT_SPELL_LEARNED","Thou hast learned {spell}!","{spell}#을(를) 익혔다!"
"SPELL_HEAL","Heal","호이미"
"SPELL_HURT","Hurt","기라"
"SPELL_SLEEP","Sleep","라리호"
"SPELL_RADIANT","Radiant","레미라"
"SPELL_STOPSPELL","Stopspell","마호톤"
"SPELL_OUTSIDE","Outside","리레미토"
"SPELL_RETURN","Return","루라"
"SPELL_REPEL","Repel","토헤로스"
"SPELL_HEALMORE","Healmore","베호이미"
"SPELL_HURTMORE","Hurtmore","베기라"
"ITEM_W_CLUB","Club","곤봉"
"ITEM_W_SWORD","Sword","강철검"
"ITEM_W_BLADE","Broad Blade","강철대검"
"ITEM_A_CLOTHES","Clothes","천옷"
"ITEM_A_LEATHER","Leather Armor","가죽갑옷"
"ITEM_A_PLATE","Plate Armor","강철갑옷"
"ITEM_S_SMALL","Small Shield","작은방패"
"ITEM_S_LARGE","Large Shield","큰방패"
"ITEM_HERB","Herb","약초"
"ITEM_TORCH","Torch","횃불"
"MONSTER_M_SLIME","Slime","슬라임"
"MONSTER_M_SLIME_RED","Red Slime","레드슬라임"
"MONSTER_M_DRAKEE","Drakee","드라키"
"MONSTER_M_GHOST","Ghost","고스트"
"MONSTER_M_MAGICIAN","Magician","마법사"
"MONSTER_M_SCORPION","Scorpion","전갈"
"MONSTER_M_WRAITH","Wraith","망령"
"MONSTER_M_DRAGONLORD","Dragonlord","용왕"
"MONSTER_M_DRAGONLORD_TRUE","Dragonlord","용왕"
"MAP_TOWN","Tantegel Town","탄타젤 성마을"
"MAP_FIELD","Alefgard","알레프가르드"
"MAP_DUNGEON","Erdrick's Cave","로토의 동굴"
"MAP_DUNGEON_B2","Erdrick's Cave B2","로토의 동굴 지하 2층"
"NPC_KING_1A","Descendant of Erdrick, listen now.","로토의 후예여, 잘 듣거라."
"NPC_KING_1B","The Dragonlord has stolen the Light.","용왕이 빛을 훔쳐 갔노라."
"NPC_KING_1C","Go forth, and thy deeds shall be recorded.","떠나거라. 그대의 모험은 내가 기록해 두마."
"NPC_KING_2A","Rest, and thy progress shall be recorded.","쉬어 가거라. 여기서 모험을 기록할 수 있노라."
"NPC_KING_2B","Return when the Dragonlord has fallen.","용왕을 쓰러뜨리거든 돌아오너라."
"NPC_SHOP_WEAPON","We deal in arms. What will thou have?","무기를 다루고 있네. 무엇이 필요한가?"
"NPC_SHOP_ARMOR","Armour keeps a traveller breathing.","갑옷은 나그네의 목숨을 지켜 주지."
"NPC_SHOP_ITEM","Herbs and torches. Thou wilt want both.","약초와 횃불일세. 둘 다 필요할 걸세."
"NPC_INN","Welcome. A night's rest restores all.","어서 오시게. 하룻밤 자면 몸이 개운해진다네."
